NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210052156280,2021,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,909.0,881.0,892.0,899.0,405.5,484.4,462.4,448.8,BBBAACDBCBBDCECCBBEAAECBBBADEECDEBCDEBDDBBBEB,CCEEBAEBADBDAAEAAEEAEBAAACACBEABADABADEACAABD,99999EACCDADBAEEEEEDDDDDEEEEEEEDDDDAAEEACEAECACEED,ECBABBBDEBBADEBEBBBBBBBBBBBAADDDDBDCCBBDDBDBB,1,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,140.0,180.0,140.0,160.0,160.0,780.0,B,C,B,B,4.0,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B
210051425418,2021,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,911.0,880.0,890.0,902.0,510.3,498.2,606.6,487.5,CCDEDBCBEEDCCEDACAAABDAADCAECDADCDDAAEBBBEDEB,CBCAAAACBBACEECEEABEBADAADEBCCBEDDABCEBDAACED,ABADA99999CDCACDCACCBBEBBECDADEADEDADDACBBDDCBADBB,BACBDDAADDDCEDBBAADACAEBDDBEBBCEEBDCDDADBBDEA,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,200.0,160.0,160.0,200.0,880.0,E,E,C,B,4.0,C,A,B,C,A,B,B,B,A,A,B,A,A,B,B,A,E,A,B,B
210051149388,2021,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,A,E,C,D,4.0,C,A,C,C,C,A,B,A,B,A,B,A,A,C,A,A,D,A,A,B
210052802404,2021,2,M,0,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,910.0,879.0,889.0,900.0,588.6,543.2,560.6,685.2,ADBECCBBBCCDECACAEDCABCDDDBBEBCBBCAADBDDEEDEC,EDEDDAABCAEBEBABCDEABEEDCAABBDADCECAEDABAEADB,CADBB99999DCCDEADEDCDDDAAADBEBBBCCCAEABBBAAACDEBAA,BDBEBDCCABBBECBACDAAECADCACECBDCCEDACCEAADBEA,0,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,160.0,200.0,160.0,180.0,200.0,900.0,E,G,D,D,4.0,F,A,C,D,B,A,B,A,B,A,B,A,B,B,A,A,E,A,B,B
210054235345,2021,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,911.0,880.0,890.0,902.0,434.5,564.5,500.2,402.5,CCECDCCCCDCEBECACCCCCEADABABCABDDBABBABDEECCA,BBAAAEEABDABAECABBAABCBBAAAACAAEBEBAAADAABAAA,BBACA99999CDAAECCBDCCAEEDADDBAEADEBBAACCAADBAAABBB,AADAADEABCEDEACCBDCBCAECCBAABBDDBDCBBBEEADECC,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,140.0,140.0,140.0,160.0,740.0,B,E,A,B,2.0,B,A,B,C,A,A,B,B,A,A,A,A,A,A,A,A,B,A,B,B
210052320663,2021,2,M,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,911.0,880.0,890.0,902.0,502.8,346.3,444.3,521.4,C..DB..BA..AAECDDEACCECDBCECEBEECCAACBAEBECCA,ACAADBBBCECADDACD.BCCBBAECBBAABAEDAABCBEECCBE,DDACA99999CACAECBEDACBEBACBDAAAADBDAEDEADDBCBDE.AD,AACCAABEDDCDDCBDCBDAAAEDBCCEECABBEDECCBEBEEDC,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,100.0,180.0,140.0,140.0,160.0,720.0,F,F,D,B,2.0,B,A,B,C,A,A,B,B,B,A,B,A,A,D,A,B,C,A,B,B
210053845546,2021,1,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,909.0,881.0,892.0,899.0,440.7,447.6,524.3,611.7,DCCBCCDEDCBDCEEBBACABECCDCDEEBDCABBCEBAEDADCB,CDCBDCEBBCEDEADADBCABBEAECABBCABACBDCEDCDBADD,AECAB99999ADBBCDDDCBADBBCCDCDDDBCEADEBEDBDCDDCACBC,EBBEADCDCDEACBBDDCDEACAEBAADBACDCDCBDDCABEBDC,0,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,140.0,180.0,140.0,180.0,160.0,800.0,E,G,F,D,2.0,C,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210052545461,2021,3,F,1,4,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,E,F,F,3.0,B,A,B,C,A,B,B,A,A,A,B,A,A,B,A,A,C,A,B,B
210051097164,2021,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,912.0,882.0,891.0,901.0,538.6,536.9,539.5,562.0,EAAACAEBECCBEDBCEBECCBCDAABCAECBDDCCCDBDEEACD,ACBBAABAEAABBECBEBABAABCBBBAADABABBCBEBACAEBD,DCAEC99999ECBACCBDABBBEAABEDEAABDDDBBABDDAACCBBBEE,ADEEEAEBBDDDAEAACBCADADDDADDCADABEDBDBCDBBBDC,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,180.0,200.0,180.0,200.0,200.0,960.0,D,D,A,B,7.0,E,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,C,A,B,B
210054240796,2021,4,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,911.0,880.0,890.0,902.0,510.2,550.0,546.4,405.9,CBDADCEDBCAAEAAECCDDDCACDDAEECABECDCBDDDBECED,DBABADDEBEDACBBEAEBAADCEACAEBBACEEBBBAEECBBAD,99999CAAEADDCACCDEEDBBCECEBDAAEADEDDDDBCADBDECAECB,AEBBBCEBDDECCEBCEAABBBCEDEECABBACABAEEEEDABCA,1,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,140.0,200.0,140.0,200.0,120.0,800.0,D,E,B,B,3.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,B
